STUDY_ID	SAMPLE_ID	PTEN	EGFR	TP53	IDH1
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-3	-2	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-5	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-6	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-8	0	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-9	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-10	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-12	0	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-14	-1	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-22	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-26	-2	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-28	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-34	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-36	-1	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-38	0	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-39	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-40	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-43	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-44	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-46	0	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-56	-2	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-59	-2	2	-1	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-61	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-63	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-64	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-66	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-67	0	0	1	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-69	-2	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-75	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-76	-1	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-80	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-84	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-85	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-91	-2	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-102	-1	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-108	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-110	-2	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-114	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-115	0	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-116	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-117	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-118	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-120	-2	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-122	-1	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-123	0	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-125	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-126	0	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-129	-1	0	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-132	-1	2	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-134	-2	1	0	0
gbm_mayo_pdx_sarkaria_2019	Mayo-PDX-Sarkaria-137	-1	2	0	0
